channel,nonzero_pct,max,mean,median,p90,p99
neighborhood,0.0000,0,0.0000,0,0,0
neighborhood_transferred,4.0943,385,2.6486,0,0,70
fusion,0.1521,900,0.1229,0,0,0
cooccurence,2.7662,542,5.5427,0,0,228
homology,2.2914,988,17.1229,0,0,777
coexpression,30.6231,737,27.0469,0,92,207
coexpression_transferred,47.4307,974,54.8410,0,141,456
experiments,0.1975,994,1.1157,0,0,0
experiments_transferred,49.8789,999,74.8403,0,196,535
database,2.8237,900,16.8485,0,0,650
database_transferred,2.3492,994,4.2696,0,0,164
textmining,35.7052,998,74.0193,0,233,562
textmining_transferred,72.8123,902,91.1729,75,189,436
combined_score,100.0000,999,264.6019,206,464,900
